atribut 1,atribut 2,atribut 3,atribut 4,kelas
8.4,54.375,13.6,13.5,
10.8,67.5,14.4,22.2,
21.6,62.5,13.6,20.7,
10.8,46.875,9,16.8,
10.8,58.75,14.2,13.5,
21.6,61.875,11.2,18.3,
6,54.375,14.2,18.3,
7.8,45,10.2,21.6,
21,42.5,14.6,18.3,
6,58.75,12.8,21.3,
20.4,73.125,10.8,21.6,
6.6,67.5,14.8,21,
10.8,39.375,10.6,23.1,
10.2,53.125,12.4,19.2,
7.2,54.375,10.8,18.6,
21.6,73.125,14.8,21.9,
18.6,70.625,8.8,18.6,
6.6,45,15,21,
10.8,55.625,11.6,19.2,
7.2,33.75,14,23.7,
19.2,49.375,8.8,21,
19.2,72.5,11.6,21,
6.6,60.625,13.2,15,
8.4,55.625,9.8,12.6,
12,53.75,10.2,20.1,
14.4,40,13.8,16.2,
21.6,80,10.8,24,
21,38.75,12.4,21.6,
6.6,35.625,11.6,19.8,
18,80.625,11.8,24,
7.2,45.625,13,12.6,
6.6,44.375,9.4,12.6,
12,52.5,8,20.4,
7.2,45,11.8,18,
23.4,79.375,10.8,22.2,
20.4,78.125,8.6,21.6,
12,43.75,10.2,15.6,
23.4,66.875,15.6,19.2,
18.6,79.375,10.4,21.3,
21.6,41.25,13,18,
23.4,60.625,14.2,20.1,
20.4,56.25,16,20.4,
11.4,70,9.6,15.6,
23.4,71.25,14.8,19.8,
19.2,81.25,9.8,19.8,
11.4,69.375,14.2,21.3,
19.8,52.5,8.4,18,
7.2,66.875,11,18.9,
6.6,48.75,8.2,17.4,
8.4,35.625,13.4,13.5,
22.8,51.875,11,20.7,
9,67.5,15.4,21.3,
19.2,61.25,8,21.3,
20.4,63.75,8.6,21.6,
6.6,37.5,11.8,22.8,
12,34.375,13.8,14.4,
7.2,59.375,13,20.4,
11.4,63.125,13.4,15.6,
19.2,71.25,13.2,21.9,
19.8,78.75,8.8,23.4,
19.8,41.875,11,22.5,
12,33.75,9.6,22.5,
21.6,74.375,10.6,20.1,
22.2,65.625,14.6,21.6,
11.4,70,10.2,23.7,
10.8,60,15,21,
7.8,32.5,11.6,21,
12,47.5,15.8,12.3,
19.8,68.75,10.6,22.5,
21.6,75.625,14.8,22.5,
18.6,46.875,12.8,20.7,
19.2,80,14.8,19.5,
10.2,59.375,11,15,
24,80.625,12.2,18.9,
7.2,46.25,15.6,16.5,
20.4,78.125,10.2,18.6,
19.2,47.5,9.4,18.9,
